,Name,Old_team,New_team,Price
120,Georginio Rutter,Leeds United,Brighton,46.7M
121,Jayden Barber,Aston Villa,Merstham FC,Free
122,Wilson Odobert,Burnley,Tottenham,29.3M
123,Mason Burstow,Chelsea,Hull City,2.4M
124,Ramón Sosa,Talleres,Nottingham,12M
125,Evanilson,Porto,B'mouth,37M
126,Diego Moreira,Chelsea,Strasbourg,8.5M
127,Cameron Archer,Aston Villa,Southampton,17.6M
128,Scott Twine,Burnley,Bristol City,3.8M
129,Zanka,Brentford,Anderlecht,Free
130,João Mendes,Barcelona,Burnley,Free
131,Brajan Gruda,Mainz 05,Brighton,31.5M
132,Brooke Norton-Cuffy,Arsenal,Genoa,2M
133,Matthijs de Ligt,Bayern Munich,Man Utd,45M
134,Noussair Mazraoui,Bayern Munich,Man Utd,15M
135,Aaron Wan-Bissaka,Man Utd,West Ham,17.6M
136,Jaïro Riedewald,C. Palace,Antwerp,Free
137,Julián Araujo,Barcelona,B'mouth,10M
138,Emerson Royal,Tottenham,Milan,15M
139,Fábio Carvalho,Liverpool,Brentford,23.4M
140,Julián Alvarez,Man City,Atlético Madrid,75M
141,Ben Knight,Man City,Real Murcia CF,Free
142,Pedro Neto,Wolves,Chelsea,60M
143,Dominic Solanke,B'mouth,Tottenham,64.3M
144,Ma'kel Campbell,Fulham,Peterborough,Free
145,Henry Fieldson,Sunderland,Queen's,Free
146,Micah Hamilton,Man City,Middlesbrough,4.1M
147,Ferdinand Okoh,B'mouth,Wingate & Finchley FC,Free
148,Deniz Undav,Brighton,VfB Stuttgart,26.7M
149,Samuel Bastien,Burnley,Fortuna Sittard,0.3M
150,William Osula,Sheff Utd,Newcastle,11.6M
151,Aarón Anselmino,Boca Juniors,Chelsea,16.5M
152,Kieron Bowie,Fulham,Hibernian,0.7M
153,Scott McKenna,Nottingham,UD Las Palmas,Free
154,Baylin Johnson,B'mouth,Cardiff City,Free
155,Dani van den Heuvel,Leeds United,Brugge,Free
156,Tim Ream,Fulham,Charlotte,Free
157,Matt Ritchie,Newcastle,Portsmouth,Free
158,Mateusz Musialowski,Liverpool,Omonia,Free
159,Niclas Füllkrug,Dortmund,West Ham,27M
160,Charlie Goode,Brentford,Stevenage,Free
161,Brandon Harriman-Annous,Brentford,Hull City,Free
162,Crysencio Summerville,Leeds United,West Ham,29.3M
163,Jorge Cuenca,Villarreal,Fulham,6.7M
164,Emile Smith Rowe,Arsenal,Fulham,31.8M
165,Blondy Nna Noukeu,Stoke City,Sunderland,Free
166,Jota Silva,Vit. Guimaraes,Nottingham,7M
167,Pascal Groß,Brighton,Dortmund,7M
168,Ismaïla Sarr,Marseille,C. Palace,15M
169,Cameron Plain,B'mouth,Poole Town FC,Free
