Name,Age,Team,Price
Mikkel Damsgaard,25,Brentford FC,€38.2M
Yasin Ayari,22,Brighton & Hove Albion,€38.2M
Mykhaylo Mudryk,24,Chelsea,€37.8M
Djed Spence,25,Tottenham,€37.7M
Diogo Dalot,26,Manchester United,€37.7M
Jean-Philippe Mateta,28,Crystal Palace,€37.6M
Arnaud Kalimuendo,23,Nottingham Forest,€37.6M
Lisandro Martínez,27,Manchester United,€37.1M
Kaoru Mitoma,28,Brighton & Hove Albion,€36.9M
Evann Guessand,24,Aston Villa,€36.9M
Dango Ouattara,23,Brentford FC,€36.8M
Lewis Hall,21,Newcastle United,€36.8M
Randal Kolo Muani,26,Tottenham,€36.4M
Djordje Petrovic,26,Bournemouth,€36.2M
Joshua Zirkzee,24,Manchester United,€36.1M
Emile Smith Rowe,25,Fulham FC,€35.8M
Mason Mount,26,Manchester United,€35.7M
Bruno Fernandes,31,Manchester United,€35.7M
Tyler Dibling,19,Everton FC,€35M
Calvin Bassey,25,Fulham FC,€34.9M
Malick Thiaw,24,Newcastle United,€34.1M
Alex Iwobi,29,Fulham FC,€34.1M
João Palhinha,30,Tottenham,€33.6M
Cristhian Mosquera,21,Arsenal FC,€32.6M
James Trafford,23,Manchester City,€32.5M
Nico O'Reilly,20,Manchester City,€32.1M
Malo Gusto,22,Chelsea,€32.1M
Callum Hudson-Odoi,25,Nottingham Forest,€31.7M
Charalampos Kostoulas,18,Brighton & Hove Albion,€31.6M
Patrick Dorgu,21,Manchester United,€31.3M
David Raya,30,Arsenal FC,€31M
Dan Ndoye,25,Nottingham Forest,€31M
Nathan Collins,24,Brentford FC,€30.9M
Conor Bradley,22,Liverpool FC,€30.7M
Maxime Estève,23,Burnley FC,€30.6M
Vitaliy Mykolenko,26,Everton FC,€30.4M
Michael Kayode,21,Brentford FC,€30.4M
Sander Berge,27,Fulham FC,€30.4M
Yegor Yarmolyuk,21,Brentford FC,€30M
Sepp van den Berg,23,Brentford FC,€29.8M
Jack Grealish,30,Everton FC,€29.7M
Joachim Andersen,29,Fulham FC,€29.7M
Evanilson,26,Bournemouth,€29.5M
Bernardo Silva,31,Manchester City,€29.4M
Keane Lewis-Potter,24,Brentford FC,€29.1M
Dário Essugo,20,Chelsea,€29.1M
El Hadji Malick Diouf,20,West Ham United,€29M
Yoane Wissa,29,Newcastle United,€28.8M
Dean Henderson,28,Crystal Palace,€28.7M
Lewis Miley,19,Newcastle United,€28.5M
Jaydee Canvot,19,Crystal Palace,€28.4M
Daniel Muñoz,29,Crystal Palace,€28.4M
Noussair Mazraoui,27,Manchester United,€28.4M
Radu Drăgușin,23,Tottenham,€28.3M
Alex Scott,22,Bournemouth,€28.2M
Neco Williams,24,Nottingham Forest,€28.1M
Simon Adingra,23,Sunderland AFC,€28.1M
Jarrad Branthwaite,23,Everton FC,€28.1M
Thierno Barry,23,Everton FC,€28M
Tyrick Mitchell,26,Crystal Palace,€28M
Stefanos Tzimas,19,Brighton & Hove Albion,€28M
Wilson Odobert,20,Tottenham,€27.8M
Douglas Luiz,27,Nottingham Forest,€27.8M
Chemsdine Talbi,20,Sunderland AFC,€27.6M
Facundo Buonanotte,20,Chelsea,€27.5M
Ferdi Kadıoğlu,26,Brighton & Hove Albion,€27.5M
Wesley Fofana,24,Chelsea,€27.5M
Antoni Milambo,20,Brentford FC,€27.5M
Tolu Arokodare,24,Wolverhampton Wanderers,€27.3M
Kiernan Dewsbury-Hall,27,Everton FC,€27.2M
Lesley Ugochukwu,21,Burnley FC,€26.5M
Wilfried Gnonto,22,Leeds United,€26.4M
Rodrigo Bentancur,28,Tottenham,€26.3M
Omari Hutchinson,22,Nottingham Forest,€26.3M
Crysencio Summerville,24,West Ham United,€26M
Matheus Nunes,27,Manchester City,€25.7M
Brian Brobbey,23,Sunderland AFC,€25.6M
James McAtee,23,Nottingham Forest,€25.6M
Tyler Adams,26,Bournemouth,€25.6M
Benoît Badiashile,24,Chelsea,€25.6M
Igor Thiago,24,Brentford FC,€25.5M
Aaron Wan-Bissaka,27,West Ham United,€25.5M
Pau Torres,28,Aston Villa,€25.3M
Amine Adli,25,Bournemouth,€25.2M
Maxim De Cuyper,24,Brighton & Hove Albion,€25M
Caoimhín Kelleher,26,Brentford FC,€24.9M
Igor Jesus,24,Nottingham Forest,€24.9M
Ola Aina,29,Nottingham Forest,€24.9M
Axel Disasi,27,Chelsea,€24.8M
Ibrahima Sangaré,27,Nottingham Forest,€24.8M
Robert Sánchez,27,Chelsea,€24.7M
Cheick Doucouré,25,Crystal Palace,€24.7M
Ben Gannon-Doak,19,Bournemouth,€24.6M
Maximilian Kilman,28,West Ham United,€24.5M
Tyrique George,19,Chelsea,€24.4M
Noah Sadiki,20,Sunderland AFC,€24.1M
Emmanuel Agbadou,28,Wolverhampton Wanderers,€23.8M
Ian Maatsen,23,Aston Villa,€23.8M
Veljko Milosavljevic,18,Bournemouth,€23.8M
Luis Guilherme,19,West Ham United,€23.7M
Tosin Adarabioyo,28,Chelsea,€23.6M
Jake O'Brien,24,Everton FC,€23.3M
Mateus Fernandes,21,West Ham United,€23.2M
Álex Jiménez,20,Bournemouth,€23M
Giovanni Leoni,19,Liverpool FC,€22.9M
Matty Cash,28,Aston Villa,€22.8M
Filip Jørgensen,23,Chelsea,€22.6M
Jean-Clair Todibo,25,West Ham United,€22.6M
Kevin Danso,27,Tottenham,€22.2M
Rio Ngumoha,17,Liverpool FC,€21.7M
Ethan Ampadu,25,Leeds United,€21.7M
Mads Hermansen,25,West Ham United,€21.6M
Eddie Nketiah,26,Crystal Palace,€21.4M
Jaka Bijol,26,Leeds United,€21.3M
Marcus Tavernier,26,Bournemouth,€21.3M
Enzo Le Fée,25,Sunderland AFC,€21.3M
Adrien Truffert,23,Bournemouth,€21M
Dwight McNeil,25,Everton FC,€21M
Jean-Ricner Bellegarde,27,Wolverhampton Wanderers,€20.9M
Nicolás Domínguez,27,Nottingham Forest,€20.9M
Jadon Sancho,25,Aston Villa,€20.8M
Florentino,26,Burnley FC,€20.8M
Beto,27,Everton FC,€20.7M
James Garner,24,Everton FC,€20.7M
Christantus Uche,22,Crystal Palace,€20.7M
Pascal Struijk,26,Leeds United,€20.7M
Gabriel Jesus,28,Arsenal FC,€20.6M
Federico Chiesa,28,Liverpool FC,€20.2M
Quilindschy Hartman,23,Burnley FC,€20.1M
Jair Cunha,20,Nottingham Forest,€20M
Aaron Hickey,23,Brentford FC,€19.9M
William Osula,22,Newcastle United,€19.8M
Soungoutou Magassa,22,West Ham United,€19.7M
Leandro Trossard,30,Arsenal FC,€19.7M
Loum Tchaouna,22,Burnley FC,€19.7M
Eli Kroupi,19,Bournemouth,€19.6M
Fábio Carvalho,23,Brentford FC,€19.6M
Eliezer Mayenda,20,Sunderland AFC,€19.5M
Ladislav Krejci,26,Wolverhampton Wanderers,€19.3M
Richarlison,28,Tottenham,€19.3M
John McGinn,31,Aston Villa,€19.2M
Lucas Perri,27,Leeds United,€19.1M
